Trieda CK,číslo CK,identifikačné číslo DC,ID mosta,evidenčné číslo - staré,Stavebno-technický stav,správca DC (z aplikácie mosty),vlastnik DC (z aplikácie mosty),druh konštrukcie,materiál DC,zaťažiteľnosť normálna,zaťažiteľnost výhradná,zaťažiteľnosť výnimočná,spôsob stanovenia,predmet premostenia,Kraj (CK),Okres (CK),Spravca (CK),LongitudeE,LatitudeN,VyskaH
cesta III. triedy,50092,M3821.01,M3821,4,Zlý,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",Banskobystrický samosprávny kraj,klenbová,monolitický železobetón,30.0,77.0,235.0,podľa tabuliek,Kanál,Banskobystrický kraj,Žiar nad Hronom,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",18.970822238,48.584612454,263.479
cesta III. triedy,50092,M5143.01,M5143,5,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",Banskobystrický samosprávny kraj,trámová,monolitický železobetón,28.0,38.0,147.0,odhadom,Železnica,Banskobystrický kraj,Žiar nad Hronom,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",18.971606497,48.584470003,265.766749
cesta III. triedy,50092,M6838.01,M6838,6,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Vodný tok,Banskobystrický kraj,Žiar nad Hronom,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",18.973596184,48.584386074,273.482749
cesta III. triedy,50092,M4725.01,M4725,7,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Vodný tok,Banskobystrický kraj,Žiar nad Hronom,"Banskobystrická regionálna správa ciest, a.s., závod 16 Žiar nad Hronom",18.985958263,48.581763075,264.792499
cesta III. triedy,50092,M2141.01,M2141,8,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,24.0,44.0,198.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Zvolen,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",18.997932455,48.571316451,267.197
cesta III. triedy,50094,M4486.01,M4486,1,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,Banskobystrický kraj,Veľký Krtíš,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",19.41060621,48.330846992,255.103499
cesta III. triedy,50096,M140.01,M140,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,30.0,62.0,122.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",19.354210116,48.541776576,358.904999
cesta III. triedy,50097,M4785.01,M4785,2,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,18.0,41.0,119.0,porovnávací výpočet,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",19.329600849,48.55971074,351.781499
cesta III. triedy,50097,M682.01,M682,3,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,32.0,80.0,196.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",19.336731995,48.586353753,389.1465
cesta III. triedy,50097,M2015.01,M2015,4,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,trámová,monolitický železobetón,20.0,20.0,137.0,odhadom,Záplavové územie,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",19.341668109,48.594245374,405.44
cesta III. triedy,50097,M5821.01,M5821,5,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,trámová,monolitický železobetón,20.0,20.0,137.0,odhadom,Záplavové územie,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",19.356672832,48.605550347,462.3655
cesta III. triedy,50098,M4242.01,M4242,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,30.0,64.0,124.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 15 Zvolen",19.406455574,48.535176822,376.18725
cesta III. triedy,50099,M2216.01,M2216,1,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Michalovce",Košický samosprávny kraj,dosková,monolitický železobetón,26.0,33.0,145.0,odhadom,Vodný tok,Košický kraj,Sobrance,"Správa ciest Košického samosprávneho kraja, Správa a údržba Michalovce",22.262757413,48.662666495,120.589999
cesta III. triedy,50100,M570.01,M570,1,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,119.0,364.0,projektovaná,,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.480753902,48.512040872,367.148499
cesta III. triedy,50100,M7683.01,M7683,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,33.0,56.0,417.0,odhadom,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.475460368,48.513133192,374.3925
cesta III. triedy,50100,M3825.01,M3825,3,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,35.0,66.0,317.0,projektovaná,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.472047589,48.514053532,382.709499
cesta III. triedy,50100,M6299.01,M6299,5,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,36.0,67.0,337.0,projektovaná,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.467970408,48.515840855,387.968999
cesta III. triedy,50100,M1600.01,M1600,7,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,35.0,97.0,392.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.464322282,48.515752601,397.35175
cesta III. triedy,50100,M2068.01,M2068,8,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,3.0,8.0,44.0,odhadom,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.462991091,48.515747633,404.004
cesta III. triedy,50101,M602.01,M602,1,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,48.0,99.0,324.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Detva,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.500474851,48.519051682,367.265249
cesta III. triedy,50102,M5347.01,M5347,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,8.0,12.0,72.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.507578224,48.482719439,311.962
cesta III. triedy,50103,M2036.01,M2036,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,33.0,76.0,332.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.535143374,48.44946784,267.864
cesta III. triedy,50103,M3165.01,M3165,3,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,25.0,38.0,315.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.533945324,48.449498376,267.9075
cesta III. triedy,50103,M5917.01,M5917,4,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,71.0,420.0,projektovaná,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.528416817,48.447374452,274.286749
cesta III. triedy,50103,M3595.01,M3595,5,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,34.0,65.0,269.0,projektovaná,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.52068431,48.443839338,291.907
cesta III. triedy,50103,M3533.01,M3533,6,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,36.0,60.0,263.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.502551443,48.429752788,385.298999
cesta III. triedy,50103,M167.01,M167,7,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,48.0,73.0,344.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.494095783,48.427437009,426.625
cesta III. triedy,50103,M646.01,M646,9,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,22.0,47.0,343.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.444141294,48.415259634,562.27925
cesta III. triedy,50103,M436.01,M436,10,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,35.0,54.0,172.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.41976547,48.383654181,349.08925
cesta III. triedy,50103,M5682.01,M5682,11,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,oceľ -  plnostenná,24.0,37.0,245.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.418145281,48.380755405,334.10425
cesta III. triedy,50103,M2456.01,M2456,12,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",Banskobystrický samosprávny kraj,dosková,oceľobetón,22.0,40.0,168.0,projektovaná,Vodný tok,Banskobystrický kraj,Veľký Krtíš,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",19.415032974,48.367887621,305.5475
cesta III. triedy,50103,M456.01,M456,13,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,30.0,66.0,150.0,projektovaná,Vodný tok,Banskobystrický kraj,Veľký Krtíš,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",19.409889847,48.356654076,279.216249
cesta III. triedy,50103,M1427.01,M1427,14,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",Banskobystrický samosprávny kraj,dosková,oceľobetón,22.0,40.0,168.0,projektovaná,Vodný tok,Banskobystrický kraj,Veľký Krtíš,"Banskobystrická regionálna správa ciest, a.s., závod 14 Veľký Krtíš",19.406837408,48.355197222,284.266499
cesta III. triedy,50104,M7726.01,M7726,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,37.0,64.0,303.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.538226259,48.448440834,267.553499
cesta III. triedy,50104,M173.01,M173,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,33.0,41.0,260.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.551040379,48.429894227,268.270999
cesta III. triedy,50107,M7704.01,M7704,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,24.0,42.0,98.0,projektovaná,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.417109912,48.386988082,339.822
cesta III. triedy,50107,M3947.01,M3947,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,30.0,52.0,256.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.411960558,48.394074587,352.903
cesta III. triedy,50107,M5975.01,M5975,3,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,29.0,52.0,420.0,projektovaná,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.412402883,48.403238074,372.8125
cesta III. triedy,50107,M4171.01,M4171,4,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,30.0,54.0,420.0,projektovaná,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.414198912,48.410276125,384.3135
cesta III. triedy,50108,M3447.01,M3447,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,28.0,45.0,306.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.56630807,48.474861439,271.543
cesta III. triedy,50109,M5501.01,M5501,1,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,17.0,31.0,102.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.575780648,48.445066254,239.6155
cesta III. triedy,50111,M1728.01,M1728,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,31.0,53.0,149.0,projektovaná,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.599912978,48.405666775,215.401249
cesta III. triedy,50112,M4855.01,M4855,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,12.0,20.0,140.0,odhadom,Vodný tok,Banskobystrický kraj,Poltár,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.652548598,48.44843576,270.999249
cesta III. triedy,50112,M3405.01,M3405,4,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,35.0,54.0,348.0,projektovaná,Vodný tok,Banskobystrický kraj,Poltár,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.685413949,48.469953644,302.3105
cesta III. triedy,50113,M1359.01,M1359,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,42.0,99.0,420.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Poltár,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.628733856,48.474628827,335.5965
cesta III. triedy,50115,M6606.01,M6606,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,21.0,50.0,249.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.88999963,48.38468324,203.3175
cesta III. triedy,50115,M903.01,M903,2,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,13.0,38.0,327.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.88807078,48.386707533,205.005499
cesta III. triedy,50115,M4364.01,M4364,3,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,43.0,108.0,369.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Poltár,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.874552152,48.409765932,216.244749
cesta III. triedy,50115,M975.01,M975,5,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,2.0,16.0,27.0,odhadom,Vodný tok,Banskobystrický kraj,Poltár,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.874951615,48.410435507,216.604
cesta III. triedy,50115,M1711.01,M1711,6,Zlý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,14.0,31.0,129.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Poltár,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.862678345,48.430572318,227.2495
cesta III. triedy,50118,M7204.01,M7204,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,22.0,55.0,332.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.020014845,48.377246078,208.953999
cesta III. triedy,50118,M544.01,M544,3,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,23.0,67.0,377.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.988129058,48.35313113,218.853
cesta III. triedy,50118,M811.01,M811,4,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,23.0,67.0,377.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.967077699,48.35911964,231.509
cesta III. triedy,50118,M6350.01,M6350,5,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,14.0,43.0,378.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.880110741,48.342009957,241.996499
cesta III. triedy,50118,M5532.01,M5532,6,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,13.0,40.0,350.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.870229777,48.341488071,235.267999
cesta III. triedy,50118,M5598.01,M5598,8,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,dosková,prefabrikovaný predpätý betón,26.0,42.0,340.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.854024238,48.345528624,208.694
cesta III. triedy,50118,M2977.01,M2977,9,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,34.0,46.0,114.0,odhadom,Vodný tok,Banskobystrický kraj,Lučenec,"Banskobystrická regionálna správa ciest, a.s., závod 12 Lučenec",19.841846473,48.344621438,192.1585
cesta III. triedy,50119,M4390.01,M4390,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,19.0,46.0,294.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.99464013,48.351367753,216.5815
cesta III. triedy,50119,M3747.01,M3747,2,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,18.0,36.0,243.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.993463751,48.317326761,245.229999
cesta III. triedy,50120,M1232.01,M1232,1,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,12.0,35.0,278.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",19.971953188,48.341785143,238.788
cesta III. triedy,50121,M3677.01,M3677,1,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,14.0,43.0,378.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.02743219,48.407721747,332.5215
cesta III. triedy,50121,M2908.01,M2908,2,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,32.0,80.0,360.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.070512752,48.457459406,231.656
cesta III. triedy,50121,M4234.01,M4234,3,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,43.0,108.0,369.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.090530786,48.463521589,207.755999
cesta III. triedy,50121,M667.01,M667,4,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,30.0,67.0,152.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.097235376,48.470076275,212.4545
cesta III. triedy,50124,M5961.01,M5961,1,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,15.0,39.0,151.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.056701282,48.493965249,240.487999
cesta III. triedy,50124,M4818.01,M4818,2,Uspokojivý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,15.0,39.0,151.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.053405737,48.498191535,240.485499
cesta III. triedy,50124,M6106.01,M6106,3,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,monolitický železobetón,25.0,26.0,42.0,odhadom,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.050531649,48.50937606,244.12475
cesta III. triedy,50124,M7559.01,M7559,4,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,trámová,prefabrikovaný predpätý betón,30.0,72.0,160.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.047244026,48.510883787,244.8245
cesta III. triedy,50124,M675.01,M675,5,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,42.0,97.0,369.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.040691161,48.513615737,251.939499
cesta III. triedy,50124,M7784.01,M7784,6,Veľmi dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,39.0,92.0,350.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.030936726,48.521071206,270.41
cesta III. triedy,50124,M7810.01,M7810,7,Dobrý,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",Banskobystrický samosprávny kraj,dosková,prefabrikovaný železobetón,46.0,85.0,378.0,podľa tabuliek,Vodný tok,Banskobystrický kraj,Rimavská Sobota,"Banskobystrická regionálna správa ciest, a.s., závod 13 Rimavská Sobota",20.02749154,48.528309429,268.595499
