Trieda PK,Číslo PK,Most /DC,Názov mosta,ID mosta,ID DC,správcovské číslo,Stavebno-technický stav,Longitude,Latitude,Vyska,Druh konštrukcie,Material,Normána zaťažiteľnost / t,Výhradná zaťažiteľnosť / t,Výnimočná zaťažiteľnosť / t,Spôsob stanovenie,Predmet premostenia,Rok postavenia,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia / m,Dĺžka nosnej konštrukcie / m,Volná šírka mosta/ m,Šírka medzi obrubami/ m,Pocha mosnej konštrukcie / m2,Plocha mosta / m2,Vlastník úseku,Správca úseku,Okres,Smer úseku,Typ úseku,Počiatočný uzol,Koncový uzol,úsek ID,úsekové staničenie začiatku DC / m,Kilometrovníkové staničenie začiatku DC / km,Kumulatívne staničenie začiatku DC / km,Poradie úsekov
cesta III. triedy,2350,Most,059032_001 Most potok Suchý pred obcou Kvačany,M3979,M3979.01,1,Dobrý,19.529551719,49.152145375,599.875,dosková,monolitický železobetón,12.0,22.0,162.0,podľa tabuliek,Vodný tok,1978.0,,2.0,11.6,,6.5,6.5,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2643A02202,2643A02100,217555,16,,0.043,3.0
cesta III. triedy,2350,Most,Most  cez potok Kvačianka v obci Kvačany /MO 59032-2/,M2864,M2864.01,2,Dobrý,19.542480823,49.172152334,629.463499,dosková,monolitický železobetón,20.0,84.0,250.0,porovnávací výpočet,Vodný tok,1952.0,,1.0,5.2,,7.5,7.5,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2643A12300,2643A00200,210828,125,,2.572,10.0
cesta III. triedy,2351,Most,Most cez potok Prosiečanka v obci Prosiek /MO 59033-1/,M4741,M4741.01,1,Veľmi dobrý,19.499332682,49.152566955,618.660999,dosková,monolitický železobetón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,1997.0,,1.0,5.2,,5.8,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2643A27300,2643A07800,211080,494,,2.635,5.0
cesta III. triedy,2353,Most,2353_001 Most cez potok Bukovina v k.ú.obce Bukovina,M6112,M6112.01,1,Veľmi dobrý,19.471659426,49.133154913,591.20375,trámová,monolitický železobetón,16.0,23.0,112.0,podľa tabuliek,Vodný tok,1938.0,,1.0,7.8,,6.0,6.0,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2643A12400,2643A12500,210829,1220,,1.317,2.0
cesta III. triedy,2355,Most,2355-1 Most cez miestny jarok v obci Bobrovník  /MO 59037-1/,M1498,M1498.01,1,Dobrý,19.477072615,49.115513,567.6545,rámová,prefabrikovaný železobetón,37.0,80.0,196.0,porovnávací výpočet,Vodný tok,1977.0,,1.0,2.3,,8.33,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2643A08000,2643A29200,20824,910,,0.91,1.0
cesta III. triedy,2356,Most,2356-1 Most cez potok Bocianka v obci Kráľova Lehota  /MO 72001-1/,M6113,M6113.01,1,Dobrý,19.782801238,49.027180432,660.254749,dosková,monolitický železobetón,15.0,40.0,130.0,porovnávací výpočet,Vodný tok,1954.0,trieda B,1.0,11.82,,7.424,6.5,,97.515,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A00803,2644A20500,3606,26,,0.195,3.0
cesta III. triedy,2356,Most,2356-2 Most cez Milkovský potok k.ú. obce Kráľova Lehota  /MO 72001-2/,M3770,M3770.01,2,Uspokojivý,19.820171035,49.012280939,674.701499,dosková,monolitický železobetón,14.0,38.0,148.0,porovnávací výpočet,Vodný tok,1959.0,,1.0,4.45,,6.75,6.15,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,3622A00600,3622A00700,211076,1566,,3.57,10.0
cesta III. triedy,2356,Most,2356-3 Most cez potok Svarínka v osade Svarín  /MO 72001-3/,M2591,M2591.01,3,Veľmi zlý,19.853865751,49.010711153,695.542,dosková,monolitický železobetón,8.0,20.0,90.0,podľa tabuliek,Vodný tok,1950.0,,1.0,7.0,,6.3,5.7,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,3622A00700,3622A00400,211077,203,,6.203,11.0
cesta III. triedy,2358,Most,2358-1 Most cez potok Dovalovec v k.ú. obce Dovalovo  /MO 537001-1/,M6518,M6518.01,1,Dobrý,19.748684554,49.048057563,667.054999,dosková,monolitický železobetón,20.0,51.0,143.0,porovnávací výpočet,Vodný tok,1951.0,,1.0,8.1,,7.3,7.3,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A23100,2644A23600,1022658,389,,1.31,6.0
cesta III. triedy,2358,Most,2358-2 Most cez rieku Belá v k.ú. obce Liptovská Kokava /MO 537001-2/,M1188,M1188.01,2,Dobrý,19.810294309,49.101419275,772.54025,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,1999.0,,1.0,13.74,,8.0,7.0,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A18800,2644A04002,211134,1087,,10.789,25.0
cesta III. triedy,2358,Most,2358-3 Most cez rieku Belá za obcou Liptovská Kokava /MO 537001-3/,M4711,M4711.01,3,Veľmi zlý,19.81017,49.10244,773.49,priehradová,oceľ -  priehradová,11.0,42.0,42.0,odhadom,Vodný tok,1992.0,,3.0,65.0,,4.5,4.0,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A18800,2644A04002,211134,1178,,10.88,25.0
cesta III. triedy,2359,Most,2359-1 Most ponad D1 pred obcou Jamník  /MO 537001-1/,M1366,M1366.01,1,Uspokojivý,19.732561475,49.056817512,683.016499,trámová,prefabrikovaný predpätý betón,20.0,52.0,150.0,porovnávací výpočet,Cestná komunikácia,1981.0,,3.0,54.98,,12.8,9.6,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A18900,2644A19000,211209,0,0.237,0.223,4.0
cesta III. triedy,2359,Most,2359-2 Most cez močiar  v. k.ú. Liptovský Peter /MO 537001-2/,M2189,M2189.01,2,Dobrý,19.730413102,49.058447281,680.97275,dosková,monolitický železobetón,13.0,40.0,350.0,podľa tabuliek,Vodná nádrž,1940.0,,1.0,2.5,,7.4,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A19000,2644A19100,211210,126,0.539,0.525,5.0
cesta III. triedy,2359,Most,2359-3 Most cez zaplavované územie v.k.ú. Jamník /MO 537002-3,M6388,M6388.01,3,Dobrý,19.717786821,49.067727772,714.009,dosková,monolitický železobetón,13.0,40.0,350.0,podľa tabuliek,Záplavové územie,1940.0,,1.0,3.0,,6.4,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A19000,2644A19100,211210,1492,1.905,1.891,5.0
cesta III. triedy,2359,Most,2359-4 Most cez potok Jamníček v obci Jamník /MO 537002-4/,M2462,M2462.01,4,Uspokojivý,19.712043564,49.070978977,677.122,trámová,monolitický železobetón,9.0,25.0,187.0,porovnávací výpočet,Vodný tok,1941.0,,1.0,4.0,,6.3,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A19100,2644A19200,211211,41,2.542,2.528,6.0
cesta III. triedy,2360,Most,2360-1 Most cez potok Brezinka v k.ú. obce Vavrišovo /MO 537005-1/,M7733,M7733.01,1,Dobrý,19.767238745,49.075091662,711.807499,dosková,monolitický železobetón,10.0,30.0,114.0,porovnávací výpočet,Iná prekážka,1945.0,,1.0,2.8,,5.8,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A05700,2644A01300,3616,350,,1.814,7.0
cesta III. triedy,2361,Most,2361-1 Most cez potok Pribylina v obci Pribylina  /MO 537009-1/,M7641,M7641.01,1,Dobrý,19.796780296,49.095089598,763.066,dosková,monolitický železobetón,11.0,69.0,162.0,porovnávací výpočet,Vodný tok,1933.0,,1.0,2.2,,6.0,,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2644A10300,2644A10400,211016,17,,0.865,5.0
cesta III. triedy,2362,Most,2362-1 Most cez potok Kvačianka pred obcou Liptovská Sielnica /MO 584001-1/,M70,M70.01,1,Uspokojivý,19.518370797,49.145248686,583.580249,dosková,prefabrikovaný predpätý betón,21.0,60.0,126.0,podľa tabuliek,Vodný tok,1975.0,,1.0,18.0,,7.2,6.2,,,ZA SK,SC ŽSK - LIP,Liptovský Mikuláš,oba smery trasy CK,medzikrižovatkový,2643A02300,2643A12800,3399,44,,0.044,1.0
cesta III. triedy,2370,Most,066047-001_most cez potok Ráztoka pred obcou Ráztoka,M1342,M1342.01,1,Uspokojivý,19.401157895,48.810812568,426.975999,dosková,prefabrikovaný železobetón,39.0,47.0,397.0,odhadom,Vodný tok,1976.0,,1.0,5.5,,7.0,6.2,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A01103,3623A02400,492946,232,,0.257,3.0
cesta III. triedy,2370,Most,066047-003_most cez potok Ráztoka v obci Ráztoka,M1816,M1816.01,3,Uspokojivý,19.401151995,48.81945507,475.287249,dosková,monolitický železobetón,6.0,10.0,59.0,odhadom,Vodný tok,1944.0,,1.0,5.2,,9.3,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A01103,3623A02400,492946,1128,,1.153,3.0
cesta III. triedy,2370,Most,066047-004_most cez potok Ráztoka v obci Ráztoka,M6321,M6321.01,4,Uspokojivý,19.401261571,48.819768822,479.144,dosková,monolitický železobetón,6.0,10.0,59.0,odhadom,Vodný tok,1944.0,,1.0,5.5,,9.3,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A01103,3623A02400,492946,1298,,1.323,3.0
cesta III. triedy,2371,Most,066048-002_most cez odpadový kanál v obci Dubová,M5148,M5148.01,2,Uspokojivý,19.432185236,48.814968346,426.9505,dosková,monolitický železobetón,2.0,10.0,71.0,odhadom,Kanál,1937.0,,1.0,4.4,,9.2,8.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A33700,3623A02600,1279136,57,,0.155,2.0
cesta III. triedy,2372,Most,066049-001_most cez mlynský náhon v osade Kramlište,M771,M771.01,1,Zlý,19.463347832,48.824451615,474.725749,klenbová,kameň,5.0,11.0,79.0,odhadom,Kanál,1900.0,,1.0,3.0,,4.3,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A18902,3623A33300,1279127,355,,1.012,3.0
cesta III. triedy,2372,Most,066049-002_most cez Jaseniansky potok v obci Jasenie,M3161,M3161.01,2,Zlý,19.463673212,48.82987375,485.1245,dosková,monolitický železobetón,22.0,24.0,196.0,odhadom,Vodný tok,1950.0,,1.0,8.0,,7.47,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A19200,3623A19300,489111,184,,1.796,7.0
cesta III. triedy,2373,Most,066050-001_most cez Biely potok pred obcou Dolná Lehota,M6311,M6311.01,1,Uspokojivý,19.498140724,48.82634898,482.6275,klenbová,monolitický prostý betón,3.0,7.0,62.0,odhadom,Vodný tok,1900.0,,1.0,2.4,,6.6,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A03900,3623A22500,3552,994,1.285,0.994,1.0
cesta III. triedy,2373,Most,066050-002_most cez potok Vajsková v obci Dolná Lehota,M7304,M7304.01,2,Uspokojivý,19.504199566,48.830456039,484.379499,dosková,prefabrikovaný železobetón,39.0,70.0,346.0,odhadom,Vodný tok,1964.0,,1.0,9.15,,6.1,5.4,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A22500,3623A22600,489161,633,1.841,1.64,2.0
cesta III. triedy,2374,Most,066052-001_most cez odpadový kanál z tajchu v osade Hnusné,M7023,M7023.01,1,Dobrý,19.545406367,48.821127163,493.60325,trámová,prefabrikovaný železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,1950.0,,1.0,3.6,,7.5,7.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A14800,3623A14900,489024,1155,,1.49,4.0
cesta III. triedy,2375,Most,066053-001_most cez Hron pri Chvatimechu,M867,M867.01,1,Uspokojivý,19.557881845,48.803482222,471.775999,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,1997.0,,1.0,27.79,,10.25,10.25,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A01600,3623A24600,3563,49,,0.049,1.0
cesta III. triedy,2375,Most,066053-004_most cez Čierny Hron v obci Hronec,M369,M369.01,4,Uspokojivý,19.572169485,48.803659881,478.911749,trámová,prefabrikovaný predpätý betón,39.0,123.0,182.0,odhadom,Vodný tok,1985.0,,1.0,28.0,,9.5,7.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A24600,3623A24900,489225,305,,1.23,2.0
cesta III. triedy,2375,Most,066053-005_most cez Čierny Hron v obci Hronec,M7627,M7627.01,5,Uspokojivý,19.578219866,48.799770335,481.808,trámová,prefabrikovaný predpätý betón,18.0,33.0,95.0,odhadom,Vodný tok,1961.0,,1.0,18.0,,9.6,7.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A15200,3623A03200,489028,244,,1.879,5.0
cesta III. triedy,2375,Most,066053-007_most cez potok Osrblianka v obci Hronec,M6276,M6276.01,7,Veľmi zlý,19.582365654,48.794645129,483.762,trámová,monolitický železobetón,33.0,66.0,359.0,odhadom,Vodný tok,1945.0,,1.0,4.7,,5.0,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A03400,3623A23200,3568,39,,2.577,8.0
cesta III. triedy,2378,Most,066056-001_most cez potok Vagnár za Breznom,M4247,M4247.01,1,Veľmi zlý,19.6613223,48.832818604,572.979999,dosková,monolitický železobetón,2.0,7.0,46.0,odhadom,Vodný tok,1940.0,,1.0,4.1,,8.0,7.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A13100,3621A00300,1036083,1431,1.711,1.659,10.0
cesta III. triedy,2378,Most,066056-002_most cez potok Štiavnička za Mýtom pod Ďumbierom,M642,M642.01,2,Uspokojivý,19.643840075,48.864546779,653.265249,trámová,monolitický železobetón,29.0,53.0,188.0,odhadom,Vodný tok,1939.0,,1.0,12.4,,7.5,7.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A13100,3621A00300,1036083,6009,6.203,6.237,10.0
cesta III. triedy,2379,Most,066057-001_most cez rieku Hron v obci Nemecká,M2497,M2497.01,1,Uspokojivý,19.414521507,48.81383389,422.420499,trámová,monolitický železobetón,34.0,74.0,156.0,odhadom,Vodný tok,1961.0,,3.0,59.5,,12.0,8.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A13100,3623A13202,489007,8,,0.883,3.0
cesta III. triedy,2379,Most,066057-002_most cez Kostolný potok v obci Nemecká,M7282,M7282.01,2,Dobrý,19.422609852,48.814566839,423.275999,trámová,monolitický železobetón,20.0,54.0,320.0,odhadom,Vodný tok,1957.0,,1.0,4.2,,7.5,6.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A13300,3623A13400,489009,278,,1.517,6.0
cesta III. triedy,2379,Most,066057-003_most cez miestny potok v obci Nemecká -časť Dubová,M2323,M2323.01,3,Dobrý,19.430450663,48.816492207,425.8445,trámová,monolitický železobetón,12.0,29.0,218.0,odhadom,Vodný tok,1957.0,,1.0,4.15,,7.55,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A02500,3623A33600,489012,4,,2.317,9.0
cesta III. triedy,2379,Most,066057-004_most cez rieku Hron za obcou Nemecká -časť Zámostie,M63,M63.01,4,Veľmi zlý,19.4437,48.81307,432.56,trámová,prefabrikovaný predpätý betón,26.4,71.7,251.3,statický výpočet,Vodný tok,1966.0,STN EN 1991-2,5.0,90.72,92.526,8.5,8.5,1027.0,512.195,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A33600,3623A13702,1279135,5,,3.225,10.0
cesta III. triedy,2379,Most,066057-005_most cez Jaseniansky potok v obci Predajná,M7731,M7731.01,5,Uspokojivý,19.463816875,48.814675547,457.46725,trámová,prefabrikovaný predpätý betón,20.0,38.0,156.0,odhadom,Vodný tok,1963.0,,1.0,14.3,,11.0,9.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A14200,3623A14300,489018,98,,4.793,27.0
cesta III. triedy,2379,Most,066057-006_most cez Vajskovský potok v Lopeji -Podbrezovej,M1955,M1955.01,6,Uspokojivý,19.496649582,48.817746153,449.827999,trámová,prefabrikovaný predpätý betón,32.0,47.0,156.0,odhadom,Vodný tok,1966.0,,1.0,10.15,,10.0,8.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A14401,3623A14500,489020,18,,7.615,35.0
cesta III. triedy,2380,Most,066058-001_most cez rieku Hron v obci Valaská,M1931,M1931.01,1,Dobrý,19.575095934,48.812469222,476.8,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,1952.0,,2.0,32.4,,4.0,3.2,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A01700,3623A21200,3564,15,,0.015,1.0
cesta III. triedy,2381,Most,066059-002_most cez rieku Hron v obci Filipovo,M5582,M5582.01,2,Uspokojivý,19.72950449,48.823086726,529.964749,dosková,prefabrikovaný predpätý betón,23.0,56.0,112.0,odhadom,Vodný tok,1969.0,,2.0,34.9,,9.0,6.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A05000,3624A05100,489056,28,,0.209,2.0
cesta III. triedy,2382,Most,066060-001_most cez potok Hlboká v obci Braväcovo,M2329,M2329.01,1,Zlý,19.752056618,48.837344487,583.8245,dosková,monolitický železobetón,33.0,60.0,342.0,odhadom,Vodný tok,1956.0,,1.0,7.0,,5.45,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A04600,3624A04700,489052,870,,1.104,2.0
cesta III. triedy,2383,Most,066061-001_most cez zrážkový potok pri obci Bacúch,M6576,M6576.01,1,Uspokojivý,19.814469757,48.848239295,581.30025,dosková,monolitický železobetón,40.0,104.0,336.0,odhadom,Vodný tok,1956.0,,1.0,2.5,,6.65,6.05,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A00400,3622A02700,3664,376,0.412,0.376,1.0
cesta III. triedy,2383,Most,2383-002 - Most cez potok v obci Bacúch,M4717,M4717.01,2,Bezchybný,19.80845,48.85463,600.88,rámová,iný materiál,32.0,80.0,196.0,projektovaná,Vodný tok,1965.0,A,1.0,2.711,5.711,9.1,7500.0,35.8,30.1,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3622A03000,3622A08400,489103,12,1.27,1.234,6.0
cesta III. triedy,2385,Most,066063-001_most cez Čierny potok v osade Hámor,M5759,M5759.01,1,Uspokojivý,19.891329798,48.849781447,605.30125,dosková,prefabrikovaný železobetón,20.0,69.0,245.0,odhadom,Vodný tok,1977.0,,1.0,5.0,,7.0,6.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3622A00500,3624A01200,3661,157,,0.157,1.0
cesta III. triedy,2387,Most,066065-001_most cez potok Havraník pred obcou Šumiac,M478,M478.01,1,Dobrý,20.122541705,48.828717989,782.2115,klenbová,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,Vodný tok,1998.0,,1.0,4.3,,7.5,7.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3713A00303,3713A11200,495354,258,0.329,0.272,3.0
cesta III. triedy,2389,Most,066067-001_most cez rieku Hron pri žel. stanici Telgárt,M517,M517.01,1,Uspokojivý,20.183026621,48.841539994,848.483999,trámová,monolitický železobetón,2.0,9.0,67.0,odhadom,Vodný tok,1932.0,,1.0,6.0,,6.45,5.65,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3713A00403,3713A11100,496942,40,,0.07,5.0
cesta III. triedy,2390,Most,066068-001_most cez rieku Hnilec pred žel. stanici Vernár,M6050,M6050.01,1,Zlý,20.238405932,48.883927034,919.391499,klenbová,monolitický prostý betón,48.0,115.0,420.0,odhadom,Vodný tok,1938.0,,1.0,4.0,,8.25,,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3711A00703,3711A01200,491743,27,,0.052,3.0
cesta III. triedy,2390,Most,066068-002_most cez poľnú cestu k žel. stanici Vernár,M5013,M5013.01,2,Uspokojivý,20.237349785,48.88306695,925.357,klenbová,monolitický prostý betón,50.0,130.0,420.0,odhadom,Účelová komunikácia,1938.0,,1.0,5.0,,6.0,4.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3711A00703,3711A01200,491743,151,,0.176,3.0
cesta III. triedy,2395,Most,529003-001_most cez Čierny Hron v Č. Balogu -Jánošovke,M4244,M4244.01,1,Zlý,19.666315188,48.743224225,539.134999,dosková,monolitický železobetón,17.0,32.0,149.0,odhadom,Vodný tok,1957.0,,1.0,13.7,,7.5,6.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A06500,3624A06600,489084,4,1.91,1.954,8.0
cesta III. triedy,2395,Most,529003-002_most cez tok Križnô v obci Č. Balog,M2417,M2417.01,2,Uspokojivý,19.687476283,48.734686677,556.82,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Vodný tok,1951.0,,1.0,3.05,,7.0,6.4,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A06800,3624A06900,489087,9,3.753,3.771,11.0
cesta III. triedy,2395,Most,529003-003_most cez potok Strakovo v obci Č. Balog - Dobroč,M6095,M6095.01,3,Uspokojivý,19.695983139,48.732626888,563.754249,dosková,monolitický železobetón,20.0,40.0,316.0,odhadom,Vodný tok,1959.0,,1.0,4.0,,8.0,7.0,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A07200,3624A07300,489091,10,4.411,4.429,15.0
cesta III. triedy,2395,Most,529003-004_most cez potok Brôtovo v obci Č. Balog - Dobroč,M3998,M3998.01,4,Uspokojivý,19.699236284,48.732249309,566.271999,dosková,monolitický železobetón,14.0,77.0,378.0,odhadom,Vodný tok,1951.0,,1.0,4.15,,7.1,6.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A07402,3624A07500,1276713,18,4.612,4.67,18.0
cesta III. triedy,2395,Most,529003-005_most cez Čierny Hron v Č. Balogu -Dobroči,M2802,M2802.01,5,Zlý,19.706438924,48.73325356,569.0485,dosková,prefabrikovaný železobetón,20.0,30.0,240.0,odhadom,Vodný tok,1951.0,,1.0,6.9,,12.1,10.9,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3624A14600,3624A07601,1276715,3,5.15,5.208,20.0
cesta III. triedy,2395,Most,529003-006_most cez potok Šaling v obci Č. Balog - Dobroč,M1978,M1978.01,6,Uspokojivý,19.707107149,48.733235625,572.18725,dosková,prefabrikovaný železobetón,22.0,39.0,242.0,odhadom,Vodný tok,1959.0,,1.0,6.65,,6.3,5.6,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,lúč,3624A07601,3624A07602,489095,38,5.198,5.256,21.0
cesta III. triedy,2396,Most,529004-002_most cez Hron pred žel. stanicou v Brezne,M542,M542.01,2,Veľmi dobrý,19.629473947,48.802479225,488.50525,trámová,monolitický predpätý betón,32.0,80.0,280.0,projektovaná,Vodný tok,2011.0,A,1.0,25.98,27.98,8.0,7.0,346.95,322.15,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A17400,3623A31200,489050,42,,1.099,16.0
cesta III. triedy,2397,Most,529005-001_most cez potok Brezenec v Brezne,M6843,M6843.01,1,Dobrý,19.645979411,48.801356077,493.671249,dosková,prefabrikovaný predpätý betón,60.0,80.0,124.0,projektovaná,,1992.0,,1.0,11.83,,9.5,7.5,,,BB SK,BB RSC - BB,Brezno,oba smery trasy CK,medzikrižovatkový,3623A04005,3623A17500,846932,589,,0.589,3.0
cesta III. triedy,2410,Most,059003-001_most cez Banský potok pri obci Uľanka,M1657,M1657.01,1,Uspokojivý,19.115684668,48.780760599,408.305999,klenbová,kameň,17.0,61.0,420.0,odhadom,Vodný tok,1900.0,,1.0,2.7,,5.0,,,,BB SK,BB RSC - BB,Banská Bystrica,oba smery trasy CK,medzikrižovatkový,3614A14400,3614A14500,280281,64,,0.148,5.0
cesta III. triedy,2410,Most,059003-003_most cez Banský potok pred obcou Špania Dolina,M2740,M2740.01,3,Dobrý,19.119405317,48.783935724,423.513,klenbová,kameň,3.0,14.0,65.0,odhadom,Vodný tok,1900.0,,1.0,2.7,,5.0,,,,BB SK,BB RSC - BB,Banská Bystrica,oba smery trasy CK,medzikrižovatkový,3614A14500,3614A14600,280282,466,,0.64,6.0
cesta III. triedy,2411,Most,059004-001_most cez Starohorský potok pri žel. stanici Uľanka,M7119,M7119.01,1,Uspokojivý,19.098771222,48.802957925,424.894,trámová,monolitický železobetón,5.0,14.0,61.0,odhadom,Vodný tok,1938.0,,1.0,9.5,,9.3,7.8,,,BB SK,BB RSC - BB,Banská Bystrica,oba smery trasy CK,medzikrižovatkový,3614A00900,3614A05300,2857,25,,0.025,1.0
cesta III. triedy,2412,Most,059050-001_most cez potok Ramžiná v obci Staré Hory,M1453,M1453.01,1,Zlý,19.10661868,48.842077271,506.974499,dosková,prefabrikovaný železobetón,16.0,32.0,119.0,odhadom,Vodný tok,1959.0,,1.0,8.2,,7.0,6.0,,,BB SK,BB RSC - BB,Banská Bystrica,oba smery trasy CK,medzikrižovatkový,3614A02602,3614A47700,753260,695,,0.735,2.0
cesta III. triedy,2412,Most,059050-002_most cez potok Ramžiná pri d.č. 256,M2901,M2901.01,2,Uspokojivý,19.088856911,48.847630317,610.725,dosková,monolitický železobetón,18.0,43.0,290.0,odhadom,Vodný tok,1959.0,,1.0,4.0,,6.0,6.0,,,BB SK,BB RSC - BB,Banská Bystrica,oba smery trasy CK,medzikrižovatkový,3614A01600,3614A02100,753224,23,,2.155,4.0
cesta III. triedy,2412,Most,059050-003_most cez potok Ramžiná povyše d.č. 264,M3079,M3079.01,3,Zlý,19.085757149,48.848828668,620.30675,dosková,monolitický železobetón,10.0,23.0,145.0,odhadom,Vodný tok,1959.0,,1.0,4.1,,5.95,5.95,,,BB SK,BB RSC - BB,Banská Bystrica,oba smery trasy CK,medzikrižovatkový,3614A02100,3614A16000,753223,157,,2.378,5.0
