Trieda CK,Číslo CK,Pôvodné číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer_úseku,Typ_úseku,Vlastník CK,Typ správcu CK,Správca CK,Kraj,Okres,Pokračovanie,Poradie,Usek ID,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku - DC,Kumulatívne staničenie začiatku - DC,Kilometrovníkové staničenie začiatku - UZLA,Kumulatívne staničenie začiatku -UZLA
cesta III. triedy,1281,61012,1,M7558,Most cez potok Gidra v Cíferi,,1756.0,,,2.0,9.0,,6.0,,,,Uspokojivý,17.48185155,48.314563979,148.424499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,9.0,klenbová,tehla,12.0,15.0,25.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,0,650,4511A07700,4511A34800,451,235,,235,0.0,0
cesta III. triedy,1282,61013,1,M3196,Most cez jarok v Cíferi,,1930.0,,,1.0,3.3,,9.2,8.2,,,Uspokojivý,17.50088603,48.314019405,143.68275,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.3,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Kanál,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,0,646,4511A02000,4511A33700,489,367,0.33,367,-37.0,0
cesta III. triedy,1284,61015,1,M7278,Most cez potok Gidra v obci Jarná,,1967.0,,,1.0,9.0,,4.6,4.2,,,Uspokojivý,17.461454036,48.324747228,153.297749,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,9.0,trámová,oceľ -  priehradová,25.0,30.0,50.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,1,436909,4511A33400,4511A33500,237,67,,329,262.0,262
cesta III. triedy,1284,61015,2,M79,Most cez potok Gidra v obci Jarná,,1946.0,,,1.0,3.4,,9.0,8.0,,,Zlý,17.460972917,48.32398946,152.964999,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.4,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,1,436909,4511A33400,4511A33500,237,166,,428,262.0,262
cesta III. triedy,1285,61016,1,M7728,Most nad D1 na ceste III.tr. medzi obcami Pác a Slov.Nová Ves,,1978.0,,,3.0,57.3,,10.9,7.5,,,Zlý,17.519590018,48.300296711,147.52,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,57.3,trámová,prefabrikovaný predpätý betón,50.0,91.0,165.0,odhadom,Cestná komunikácia,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,7,437012,4511A37400,4511A37500,661,247,2.215,2227,1968.0,1980
cesta III. triedy,1286,61017,1,M7322,Most nad D1 na ceste III.tr.medzi obcami Hrnčiarovce a Voderady,,1978.0,,,3.0,57.2,,12.9,9.5,,,Uspokojivý,17.559192352,48.308134649,156.016499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,57.2,trámová,prefabrikovaný predpätý betón,50.0,91.0,165.0,odhadom,Cestná komunikácia,"neaplikovateľný, nepoužiteľný",vetva,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,26,464107,4511A08820,4511A08818,73,9,,9,7108.0,0
cesta III. triedy,1286,61017,001A,M7345,Most cez kanál Roňava pred obcou Voderady,,1986.0,,,2.0,4.6,,8.5,7.5,,,Veľmi zlý,17.564423982,48.284903558,129.357,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.6,rámová,prefabrikovaný železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,3.0,2,437895,4511A38700,4511A38800,507,41,7.205,6788,7164.0,6747
cesta III. triedy,1286,61017,2,M1026,Most cez potok Gidra vo Voderadoch,,1958.0,,,0.0,3.3,,5.7,,,,Dobrý,17.556338511,48.275264994,133.978499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.3,klenbová,tehla,15.0,20.0,30.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,3.0,8,436904,4511A32900,4511A33000,2675,202,8.278,8195,8076.0,7993
cesta III. triedy,1286,61017,3,M426,Most cez potok Gidra v obci Voderady,,1955.0,,,1.0,3.3,,5.7,,,,Uspokojivý,17.554466813,48.273990871,134.8015,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.3,klenbová,tehla,10.0,12.0,20.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,3.0,8,436904,4511A32900,4511A33000,2675,435,8.511,8428,8076.0,7993
cesta III. triedy,1287,61018,1,M6365,Most cez potok Parná pred obcou Zeleneč,,1988.0,,,1.0,16.84,,7.1,7.1,,,Uspokojivý,17.595390718,48.336042144,137.47225,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,16.84,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,1.0,1,437966,4511A39300,4511A39400,451,141,3.242,3311,3101.0,3170
cesta III. triedy,1287,61018,2,M1905,Most cez kanál v obci Zeleneč,,1988.0,,,1.0,11.86,,7.7,7.2,,,Veľmi dobrý,17.593258502,48.333752857,138.2875,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,11.86,trámová,prefabrikovaný železobetón,32.0,80.0,196.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,1.0,1,437966,4511A39300,4511A39400,451,438,3.47,3608,3101.0,3170
cesta III. triedy,1288,61069,1,M6522,Most cez potok Blava v obci Bučany,,1918.0,,,1.0,9.5,,7.6,,,,Dobrý,17.694546021,48.422115964,145.5285,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,9.5,klenbová,tehla,50.0,71.0,119.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,2,449923,3534A00503,3534A32200,49,18,,39,21.0,21
cesta III. triedy,1290,502011,1,M7308,Most cez bezmenný potok - Lošonec,,1936.0,,,1.0,2.25,,6.0,,,,Dobrý,17.404539238,48.479929659,241.339,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,2.25,dosková,monolitický železobetón,40.0,50.0,80.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,4,436984,3533A24900,3533A15500,317,230,2.356,2284,2126.0,2054
cesta III. triedy,1291,502013,1,M1652,Most cez odpadový kanál - Trstín,,1965.0,,,1.0,4.0,,7.7,7.2,,,Dobrý,17.458613805,48.528777115,211.8285,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.0,trámová,prefabrikovaný predpätý betón,50.0,60.0,100.0,odhadom,Kanál,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,2,446320,3531A02702,3531A24900,324,128,0.107,166,-21.0,38
cesta III. triedy,1291,502013,3,M4724,Most cez bezmenný potok za obcou Buková,,1965.0,,,1.0,8.0,,7.5,6.5,,,Uspokojivý,17.442288791,48.536500577,226.6385,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,8.0,dosková,prefabrikovaný železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,5,436769,3531A25100,3531A25200,2383,893,1.587,1687,735.0,794
cesta III. triedy,1291,502013,4,M4538,Most cez Bukovský potok  - Buková,,1956.0,,,1.0,3.8,,6.5,,,,Dobrý,17.427863958,48.547004407,251.797999,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.8,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,6,436770,3531A25200,3531A25300,512,352,3.383,3529,3031.0,3177
cesta III. triedy,1291,502013,6,M1421,50213-006 Most cez potok pred obcou Pl.Peter,,1933.0,,,1.0,2.1,,6.0,,,,Dobrý,17.344842293,48.539792242,265.139999,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Senica,Trnavský samosprávny kraj,2.1,dosková,monolitický železobetón,13.0,43.0,150.0,podľa tabuliek,,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - SE,Trnavský kraj,Senica,0.0,19,281,3531B00300,3531A01900,1545,1072,10.216,10636,9144.0,9564
cesta III. triedy,1293,504004,1,M3636,Most cez Kozárovský potok v obci Dlhá,,1972.0,,,1.0,7.7,,7.9,7.0,,,Uspokojivý,17.430806538,48.411807187,182.3515,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,7.7,dosková,prefabrikovaný železobetón,55.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,8,436875,3533A22300,3533A22400,144,17,5.994,6087,5977.0,6070
cesta III. triedy,1295,504006,2,M6238,Most cez potok Parná v obci Suchá nad Parnou,,1956.0,,,4.0,18.79,,8.1,7.0,,,Dobrý,17.496423636,48.410198957,162.50275,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,18.79,klenbová,tehla,32.0,80.0,196.0,projektovaná,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,9,512,3533A04000,3533A21000,450,296,6.505,6465,6209.0,6169
cesta III. triedy,1295,504006,3,M4267,Most cez potok Parná v obci Suchá nad Parnou,,1962.0,,,1.0,10.45,,9.5,7.0,,,Zlý,17.490376288,48.409294867,164.92075,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,10.45,trámová,prefabrikovaný predpätý betón,40.0,48.0,80.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,13,436853,3533A20100,3533A20200,297,31,7.056,7021,7025.0,6990
cesta III. triedy,1295,504006,4,M6738,Most cez Kozárovský potok za obcou Košolná,,1935.0,,,1.0,2.3,,7.0,,,,Dobrý,17.439880508,48.418199189,185.974499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,2.3,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,24,436964,3533A24000,3533A05000,2575,1509,11.36,11568,10022.0,10059
cesta III. triedy,1295,504006,5,M5497,Most cez bezmenný potok za obcou Dlhá,,1975.0,,,1.0,4.45,,7.56,6.8,,,Uspokojivý,17.417247191,48.413240577,189.164499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.45,dosková,prefabrikovaný železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,28,436834,3533A18200,3533B00300,1318,161,14.12,13434,13959.0,13273
cesta III. triedy,1296,504007,1,M3030,Most cez potok Parná v obci Zvončín,,1961.0,,,3.0,20.0,,10.0,7.5,,,Uspokojivý,17.506757472,48.402170259,153.414499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,20.0,dosková,prefabrikovaný železobetón,30.0,36.0,60.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,1,436863,3533A21100,3533A21200,223,155,0.434,578,279.0,423
cesta III. triedy,1299,504010,001A,M7904,III/50410 Most nad cestou I/51 v Trnave,SSC,2010.0,Trnavská stavebná spoločnosť a.s.,stn 73 6203,2.0,34.277,,8.2,8.2,361.21,280.66,Nezistený,17.592253,48.399478,162.372,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,,dosková,prefabrikovaný predpätý betón,36.0,80.0,196.0,projektovaná,Cestná komunikácia,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,4,112580,3533A55000,3533A33500,2436,310,0.376,478,66.0,168
cesta III. triedy,1299,504010,1,M5080,Most cez Lúčny potok za Trnavou,,1939.0,,,1.0,2.6,,7.8,7.0,,,Dobrý,17.577491351,48.423460213,157.421,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,2.6,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,5,437949,3533A33500,3533A33600,2759,890,3.483,3494,2593.0,2604
cesta III. triedy,1299,504010,2,M3662,Most cez inundačné územie za Trnavou,,1950.0,,,1.0,3.8,,7.9,,,,Uspokojivý,17.568190698,48.440534711,164.36925,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.8,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Záplavové územie,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,7,437951,3533A33700,3533A33800,2118,102,5.428,5531,5326.0,5429
cesta III. triedy,1299,504010,3,M2800,Most cez potok v obci Dolná Krupá,,1952.0,,,1.0,5.0,,8.0,7.5,,,Uspokojivý,17.555228104,48.478291416,183.7835,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,5.0,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,9,437953,3533A33900,3533A34000,140,51,9.463,9991,9491.0,9940
cesta III. triedy,1299,504010,4,M5436,Most cez bezmenný potok za obcou Dolná Krupá,,1948.0,,,1.0,8.0,,7.0,,,,Dobrý,17.536687928,48.488134392,190.304,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,8.0,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,14,437958,3533A34400,3533A34500,725,653,11.285,11857,10632.0,11204
cesta III. triedy,1299,504010,5,M1551,Most cez bezmenný potok za obcou Dolná Krupá,,1949.0,,,1.0,2.5,,7.0,,,,Dobrý,17.531390803,48.489135627,194.7905,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,2.5,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,16,437960,3533A34600,3533A34700,2629,82,11.376,12302,11648.0,12220
cesta III. triedy,1299,504010,6,M621,Most cez bezmenný potok za obcou Dolná Krupá,,1948.0,,,1.0,3.5,,7.0,,,,Dobrý,17.524937667,48.516167251,214.642999,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.5,klenbová,monolitický prostý betón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,19,437963,3531A30600,3531A30700,654,429,15.134,15731,14705.0,15302
cesta III. triedy,1299,504010,7,M3369,Most cez inundačné územie za obcou Horná Krupá,,1939.0,,,1.0,2.5,,7.4,6.4,,,Dobrý,17.507807833,48.535706301,234.0215,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,2.5,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Záplavové územie,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,21,437965,3531A30800,3531A02800,2259,2188,18.24,18282,15497.0,16094
cesta III. triedy,1301,504013,1,M2164,Most cez bezmenný potok za obcou Paderovce,,1948.0,,,1.0,4.0,,9.0,,,,Veľmi dobrý,17.640725184,48.485078725,163.7445,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.0,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,3,436811,3533A15900,3533A16000,1016,661,3.858,4135,3257.0,3474
cesta III. triedy,1302,504014,1,M5322,Most cez potok Blava pred obcou Radošovce,,1937.0,,,1.0,5.0,,4.0,,,,Uspokojivý,17.627884025,48.498749267,166.9505,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,5.0,dosková,monolitický železobetón,40.0,50.0,80.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,0,489,3533A04700,3533A16300,721,9,,9,0.0,0
cesta III. triedy,1302,504014,2,M257,Most cez potok Blava - Radošovce,,1937.0,,,1.0,3.0,,4.0,,,,Uspokojivý,17.630056169,48.500315806,168.653999,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,3.0,dosková,monolitický železobetón,20.0,25.0,40.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,0,489,3533A04700,3533A16300,721,278,,278,0.0,0
cesta III. triedy,1303,504028,1,M2256,Most cez potok Blava v obci Kátlovce,,1950.0,,,1.0,6.3,,5.7,5.1,,,Uspokojivý,17.61447199,48.516699781,173.252999,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,6.3,trámová,oceľ -  plnostenná,40.0,50.0,80.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,0,480,3531A03400,3531A27600,1297,174,0.095,174,-79.0,0
cesta III. triedy,1303,504028,2,M6160,Most cez bezmenný potok za obcou Kátlovce,,1950.0,,,1.0,5.0,,5.7,5.1,,,Uspokojivý,17.615091124,48.516782756,176.7445,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,5.0,trámová,oceľ -  plnostenná,40.0,50.0,80.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,0,480,3531A03400,3531A27600,1297,226,0.147,226,-79.0,0
cesta III. triedy,1303,504028,3,M3119,Most cez inundačné územie pred obcou Nižná,,1950.0,,,1.0,2.3,,8.1,,,,Veľmi dobrý,17.644046098,48.52768653,185.236,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,2.3,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Záplavové územie,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Piešťany,0.0,2,467,3531B00700,3531A20600,1888,1097,2.923,3057,1881.0,1960
cesta III. triedy,1311,504015,1,M577,Most cez potok Dudváh za obcou Žlkovce,,1975.0,,,1.0,19.0,,11.0,8.9,,,Uspokojivý,17.723415503,48.456607689,145.686,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,19.0,trámová,prefabrikovaný predpätý betón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Hlohovec,0.0,0,1028,3534A00700,3534A09400,749,368,0.318,368,-50.0,0
cesta III. triedy,1311,504015,2,M2694,Most cez inundačné územie pred Jaslovskými Bohuniciami,,1960.0,,,1.0,11.64,,9.0,8.0,,,Uspokojivý,17.651248492,48.478650534,162.587249,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,11.64,trámová,prefabrikovaný predpätý betón,30.0,60.0,100.0,odhadom,Záplavové územie,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Trnava,0.0,8,436929,3533A23500,3533A23600,396,240,7.502,7710,7262.0,7470
cesta III. triedy,1312,504016,1,M941,Most cez potok Manivier v obci Ratkovce,,1960.0,,,1.0,4.95,,6.02,5.12,,,Uspokojivý,17.718798976,48.462367338,146.267,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.95,rámová,monolitický železobetón,27.0,71.0,420.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Hlohovec,0.0,5,347170,3534A09300,3534A08103,403,13,,1995,1982.0,1982
cesta III. triedy,1313,507006,1,M4529,Most cez potok Jác - Dvorníky,,1967.0,,,1.0,4.9,,10.0,7.0,,,Uspokojivý,17.799663737,48.355480682,145.051,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.9,dosková,prefabrikovaný železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Hlohovec,0.0,1,347333,3534A25600,3534A25700,117,93,0.241,210,148.0,117
cesta III. triedy,1313,507006,2,M4025,Most cez odvodňovací kanál medzi obcami Dvorníky a Šalgočka,,1968.0,,,1.0,7.5,,8.1,7.0,,,Uspokojivý,17.808003393,48.346183257,144.0175,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,7.5,dosková,monolitický železobetón,20.0,25.0,40.0,odhadom,Kanál,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Galanta,0.0,6,509888,3534A43000,3534A43100,181,53,1.465,1434,1412.0,1381
cesta III. triedy,1313,507006,3,M6790,Most cez Nový potok v obci Pusté Sady,,1968.0,,,1.0,6.4,,9.4,6.9,,,Uspokojivý,17.826751633,48.30766356,132.054499,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,6.4,dosková,prefabrikovaný železobetón,50.0,60.0,100.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Galanta,0.0,22,509904,4512A36400,4512A36500,1158,719,6.236,6199,5471.0,5480
cesta III. triedy,1313,507006,003A,M5158,Most nad R1 medzi obcami Pata a Šoporňa,,1998.0,,,4.0,56.2,,7.5,7.5,,,Dobrý,17.81988679,48.265292862,139.1685,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,56.2,dosková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Cestná komunikácia,oba smery trasy CK,lúč,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Galanta,0.0,37,529794,4512A01116,4512A01115,225,85,11.343,11354,11258.0,11269
cesta III. triedy,1313,507006,4,M7467,,,1971.0,,,1.0,4.5,,10.0,6.5,,,Uspokojivý,17.817566239,48.258952523,125.95925,Správa a údržba ciest Trnavského samosprávneho kraja - oblasť Trnava,Trnavský samosprávny kraj,4.5,dosková,monolitický železobetón,50.0,60.0,90.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,TT SK,SUC TTSK,SUC TTSK - TT,Trnavský kraj,Galanta,0.0,40,1203,4512A01105,4512A24100,627,453,12.095,12106,11642.0,11653
cesta III. triedy,1315,507009,3,M902,507009-003 most cez potok v obci Bzince,,1962.0,,,1.0,3.95,,9.0,6.5,,,Dobrý,17.925016326,48.527320921,196.381999,"Regionálna správa a údržba ciest Nitra, a.s. - Stredisko správy a údržby Topoľčany",Nitriansky samosprávny kraj,3.95,dosková,prefabrikovaný železobetón,26.0,81.0,235.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,NR SK,RSUC NR,RSUC NR - SSU TO,Nitriansky kraj,Topolčany,0.0,21,427095,3532A35500,3532A35600,224,218,12.821,12662,12603.0,12444
cesta III. triedy,1315,507009,4,M1042,507009-004 Most cez potok v obci Bzince,,1934.0,,,1.0,2.35,,5.4,5.4,,,Uspokojivý,17.92491137,48.52818706,196.4945,"Regionálna správa a údržba ciest Nitra, a.s. - Stredisko správy a údržby Topoľčany",Nitriansky samosprávny kraj,2.35,dosková,monolitický železobetón,10.0,32.0,280.0,podľa tabuliek,,oba smery trasy CK,medzikrižovatkový,NR SK,RSUC NR,RSUC NR - SSU TO,Nitriansky kraj,Topolčany,0.0,22,427096,3532A35600,3532A35700,205,72,12.899,12740,12827.0,12668
cesta III. triedy,1315,507009,5,M7411,507009-005 most cez potok pred obcou Radošina,,1963.0,,,1.0,3.95,,7.8,6.8,,,Veľmi dobrý,17.936093541,48.538660582,195.853,"Regionálna správa a údržba ciest Nitra, a.s. - Stredisko správy a údržby Topoľčany",Nitriansky samosprávny kraj,3.95,dosková,prefabrikovaný železobetón,39.0,104.0,347.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,NR SK,RSUC NR,RSUC NR - SSU TO,Nitriansky kraj,Topolčany,0.0,23,427097,3532A35700,3532A35800,1701,1364,14.396,14237,13032.0,12873
